Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
4.43,12/14/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.7,12/13/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.54,12/12/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.61,12/11/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.85,12/10/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.58,12/9/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.84,12/8/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.27,12/7/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
2.25,12/6/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
1.78,12/5/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.38,12/4/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.03,12/3/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
2.58,12/2/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
2.62,12/1/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.44,11/30/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.68,11/29/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.18,11/28/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.85,11/27/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.2,11/26/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.52,11/25/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.22,11/24/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.43,11/23/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.74,11/22/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.03,11/21/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.15,11/20/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.83,11/19/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.03,11/18/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.3,11/17/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.1,11/16/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.66,11/15/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
6.42,11/14/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
7.85,11/13/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
7.69,11/12/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
9.12,11/11/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.58,11/10/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.96,11/9/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.62,11/8/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
71,1/1/17 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
37,12/31/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
66,12/30/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
75,12/29/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
71,12/28/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
86,12/27/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
87,12/26/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
70,12/25/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
70,12/24/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
63,12/23/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
64,12/22/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
131,12/21/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
104,12/20/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
98,12/19/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
194,12/18/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
68,12/17/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
63,12/16/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
107,12/15/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
150,12/14/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
